dateFrom,name ,organizationPrimarySector ,impact.category,impact.description,Attribution.type,source.name,source.URL,eventConfidence,otherInformation
"May 28, 2024",Citizen Café Tel Aviv,Education,DDoS,"Service disruption, reputational damage, public confidence erosion",,Handala ,(https://t.me/Handala_hack/291),,"?? Handala Hacked Citizen Café Tel Aviv

Citizen Café Tel Aviv is a one-of-a-kind Hebrew Language and Israeli Culture school located in the heart of Tel Aviv. Their mission is to connect Israel lovers from around the world to the modern Israeli experience: pluralistic, creative, open-minded and relevant.The revenue of this company is more than 10 million dollars!
https://citizencafetlv.com
https://il.linkedin.com/company/citizencafetlv
https://web.archive.org/web/20240527092952/https://www.citizencafetlv.com"
"May 28, 2024",Sirius Electronics,Industry,DDoS,"Service outage, reputational harm, customer trust loss",,Handala ,(https://t.me/Handala_hack/291),,"
?? Handala Hacked Sirius Electronics

Sirius Electronics Ltd. was established in 1994 as a high–end audio company that provided different solutions for in-home entertainment. Today, Sirius Electronics is recognized as one of the leading manufacturers of in-home theater systems as well as other consumer electronics and accessories. In addition, Sirius has become an exclusive representative of several globally-recognized brands. 
https://new2022.sel.co.il
https://il.linkedin.com/company/sirius-electronics
https://web.archive.org/web/20240527091941/https://new2022.sel.co.il/"
"May 28, 2024",EasyUP,Public Sector Management,DDoS,"Service disruption, reputational harm, access to services impacted",,Handala ,(https://t.me/Handala_hack/291),,"?? Handala Hacked EasyUP

Easy Up is one Israel's leading companies recruiting and supporting Israelis for jobs abroad, mainly in Europe. Easy Up is a unique placement company specializing in establishing the connection between a customer's expectations and a candidate.
https://easyup.co.il"
"May 27, 2024",Haderi Haredim,Information and Communications,DDoS,"Temporary website outage, reputational damage, loss of readership",Claimed ,Breach Sense ,https://www.breachsense.com/breaches/haderi-haredim-data-breach/,,"Haderi Haredim is a fast and reliable Haredim news site.	"
"May 27, 2024",Ynet,Information and Communications,DDoS,"Media service disruption, reputational damage, access issues",Claimed ,Breach Sense ,https://www.breachsense.com/breaches/ynet-data-breach/,,"Ynet is the leqading news site in Israel.	"
"May 27, 2024",Calcalist  (financial news website),Information and Communications,DDoS,"Media access disruption, reputational damage, business impact",Claimed ,BreachSense,(https://www.breachsense.com/breaches/calcalist-data-breach/),,
"May 27, 2024","Cello
(Hundreds of public parking operators easily manage on-street parking with cutting-edge technology and smart solutions.)",Public Sector Management,DDoS,"Civic technology disruption, reputational harm, citizen frustration",Claimed ,"Handala 
BreachSense ","(https://t.me/Handala_hack/282)
(https://www.breachsense.com/breaches/cello-data-breach/)",,"?? Hello to the Zionist information technology community! ????

?? Handala Hacked Cello (formerly Cellopark)

Cello is Zionist's most advanced app for your parking needs & road services. This application has more than 1.5 million active installations in the occupied territories.
https://cello-app.com
https://il.linkedin.com/company/cellopark-israel
https://web.archive.org/web/20240527080745/https://www.cello-app.com/global/"
"May 27, 2024","Nagria Modi'in - A. Shilot 
(Nagria Modi’in - A. Shilot offers a variety of different and high-quality wooden furniture, advocates for maintaining the highest standards in the quality of the work and the quality of the raw materials.)",Industry,DDoS,"Production delays, reputational harm, manufacturing inefficiencies",Claimed ,BreachSense ,(https://www.breachsense.com/breaches/nagria-modiin-a-shilot-data-breach/),,
"May 27, 2024","Foresight Robotics 
(sraeli medical device company.)","Medical, Health and Nutrition",DDoS,"Medical device platform disruption, reputational harm, regulatory concern",Claimed ,Handala,(https://t.me/Handala_hack/282),,"
?? Handala Hacked ForSight Robotics

ForSight Robotics is redefining quality surgical eye care with ORYOM, the first robotic surgery platform for cataracts and widespread eye diseases.The revenue of this company is more than 30 million dollars!
https://forsightrobotics.com
https://linkedin.com/company/forsightrobotics
https://web.archive.org/web/20240527082827/https://www.forsightrobotics.com/"
"May 27, 2024","Magnet Accelerator
(Acceleration program, that looks for startups aiming at their first significant round)","Finance, Management and Administration",DDoS,"Operational disruption, reputational damage, startup investor uncertainty",Claimed ,Handala,(https://t.me/Handala_hack/282),,"?? Handala Hacked Magnet Accelerator

Magnet Accelerator is an early-stage startup acceleration program, looking for startups aiming at their first significant round. Their mission is to keep startups in the south of Israel and increase their global scale from the Negev headquarter.The revenue of this company is more than 5 million dollars!
https://magnet.tech7.org.il
https://il.linkedin.com/company/tech7
https://web.archive.org/web/20240527083644/https://magnet.tech7.org.il/"
"May 27, 2024","Toks 
TikTok (Platform that dentifys current trends, we monitor performance, and perform continuous learning to ensure that the brand reaches the right people)",Information and Communications,DDoS,"Service disruption, reputational damage, user trust degradation",Claimed ,Handala,(https://t.me/Handala_hack/282),,"
?? Handala Hacked Toks

They are toks, an Advertising agency that helps businesses and brands get involved in TikTok and influencers marketing. 
https://toks.co.il
https://linkedin.com/company/toksagency
https://web.archive.org/web/20240527084439/https://toks.co.il/"
"May 27, 2024","The Barak Finance Group (Smart and customized financial group providing solutions in the fields of insurance, investments, mortgages, finance and real estate.)","Finance, Management and Administration",DDoS,"Financial services interruption, reputational damage, client dissatisfaction",Claimed ,Handala,(https://t.me/Handala_hack/282),,"?? Handala Hacked Barak Finance

This company is one of the big financial funds that operates in various fields.
https://barak-fin.com
https://web.archive.org/web/20240527085626/https://www.barak-fin.com/"
"May 27, 2024",Shai Nursing Company ,"Medical, Health and Nutrition",DDoS,"Healthcare service outage, reputational harm, patient trust erosion",Claimed ,Handala,(https://t.me/Handala_hack/282),,
"May 27, 2024","MER Group 
(MER Group is a solutions provider in areas of homeland security, communication infrastructure and tactical communication.)",Public Sector Management,DDoS,"Infrastructure service outage, reputational harm, national security concerns",Claimed ,Handala,(https://t.me/Handala_hack/282),,"?? Handala Hacked MER Group 

MER Group is a global leader in Homeland Security (HLS), Communication Infrastructure and Defense Communications, with decades of experience delivering holistic, customized solutions. Mer Group has more than 30 subsidiaries. The company provides products for cellular networks (including telecom towers design and manufacture, civil engineering and telecom implementation services), large scale security projects and broadband network technology. The revenue of this company is more than 120 million dollars!
https://mer-group.com
https://il.linkedin.com/company/mer-group-global
https://web.archive.org/web/20240527082115/https://mer-group.com/"
"May 25, 2024",Ramat Gan Academic College ,Education,Hack & Leak ,"Educational data exposure, reputational harm, academic trust erosion",Claimed ,Handala ,(https://t.me/Handala_hack/282),,"?? Handala Hacked Ramat Gan Academic College 

The Israel Academic College in Ramat Gan is a leading academic institution in occupied lands, recognized by the Council for Higher Education.

The undergraduate and graduate programs focus on areas of study relevant to the world of employment: nursing and health management, computer science and information systems, dual-degree degrees that combine the fields of management, economics, innovation and entrepreneurship, society and human resources, and educational consulting and digital learning technologies.

http://iac.ac.il

https://he.wikipedia.org/wiki/??????_???????_???_??

https://il.linkedin.com/school/ramat-gan-academic-college/

PoC:

https://zone-xsec.com/mirror/id/657343

https://web.archive.org/web/20240525103252/https://elearn.iac.ac.il/

PoC Soon...

?? Handala.to
?? TOX: 
02C75E60211314F4A69C323A3CE334D75C72CD8C742F3ED168447405C541DF057294365D6C1E
?? @Handala_Backup
?? @Handala_Hack
?? @Handala_Leak

 Are you really serious?! Have we just hacked the Moodle system? You are so illiterate that you don't even know how you got hacked! Just like INCD ... As PoC, we are now exposing 10,000 documents from Ramat Gan Academic College... If you continue to deny again, we will publish more documents!

Download PoC:

https://t.me/Handala_Leak/73

https://www.israelhayom.co.il/tech/tech-news/article/15807133


https://t.me/Handala_hack/281
?? Handala.to
?? TOX: 
02C75E60211314F4A69C323A3CE334D75C72CD8C742F3ED168447405C541DF057294365D6C1E
?? @Handala_Backup
?? @Handala_Hack
?? @Handala_Leak"
"May 22, 2024", Harmony Pharm,"Medical, Health and Nutrition",Hack & Leak ,"Patient data exposure, reputational harm, compliance penalties",Claimed ,Handala ,(https://handala.to/zionists-harmony-pharm-hacked/),,"Handala Hacked Harmony Pharm ( One of the largest pharmacies in Tel Aviv )

harmonyisrael.co.il

The government that has cut off all health and medical aid to our oppressed children cannot expect the stability of its health and medicine network!

Wait for our surprise in the coming days!

PoC:

https://zone-xsec.com/mirror/id/656803

https://web.archive.org/web/20240522080810/https://harmonyisrael.co.il/

vie6c

handala hack, Harmony Pharm"
"May 16, 2024",Amigour Management of Assets,"Finance, Management and Administration",Wipe ,"Destruction of internal financial data, operational paralysis, reputational harm",Claimed ,Handala ,(https://handala.to/zionists-amigour-company-hacked/),,"We told that any company or person will take action to build a settlement in our lands, it will be the legitimate goal of Handala!

Handala Hacked Amigour Management of Assets ( Zionists biggest Housing and Community Development Company )

+ 522 GB Data Dumped and Wiped…

amigour.co.il

https://il.linkedin.com/company/amigour-properties-management
Amigour receives funding for existing projects from the Israeli Government, the Harry and Jeanette Weinberg Foundation, the Claims Conference, Keren Hayesod, Federations, Foundations and personal donors.

Wait for our surprise in the coming days!

PoC:

https://web.archive.org/web/20240516103839/https://amigour.co.il/

https://zone-h.org/mirror/id/41172782"
"May 2, 2024",High Group,Education,Hack & Leak ,"Educational data leak, reputational damage, student privacy violation",Claimed ,Handala ,(https://handala.to/zionists-high-group-hacked/),,"Handala Hacked High Group

High Group is one of the main sources of settlement development in the occupied territories. This company, in cooperation with government ministries and also big Zionist banks, is doing extensive urban development in our homelands. We warn that any company or person will take action to build a settlement in our lands, it will be the legitimate goal of Handala!

+84 GB Data Dumped!

Download PoC:
https://t.me/Handala_hack/257
https://t.me/Handala_Leak/60"
"April 30, 2024","Kashin 
(Kashin Distillery is one of the largest factories for the production of alcoholic beverages in the occupied territories)",Industry,Hack & Leak ,"Product information exposure, reputational harm, market disruption",Claimed ,"BreachSense 
Handala ",(https://www.breachsense.com/breaches/kashin-data-breach/),,
"April 13, 2024",Israel 99 Digital,Information and Communications,Hack & Leak ,"Data breach, reputational harm, client trust damage",Claimed ,Handala ,(https://handala.to/israel-99-digital-hacked/),,"Handala Hacked 99 digital and send last messages to Zionists!

This was a clear message to 8200 not to test our patience with their shell groups!

An eye for an eye!

+500K alert messages sent to Zionists

5.2 TB of data from sensitive conversations of organizations were dumped!

People will pay for the crimes and stupidity of your leaders. Undoubtedly, your leaders will regret these foolish adventures. Evacuate the cities, maybe you will see less damage! Don’t blink and don’t sleep, the chance to escape is less than ten seconds, maybe your city will be chosen!

https://www.99digital.co.il
https://il.linkedin.com/company/99-digit…es-for-you"
"April 13, 2024",Smart College,Education,Hack & Leak ,"Student data exposure, reputational harm, education service disruption",Claimed ,Handala ,(https://handala.to/israel-largest-cyber-security-college/),,"
Handala Hacked Smart College (The largest Zionist cyber security college )

Smart College is a leading training center in Zionists training students in programming, AI, QA, cyber security, IT, management skills and soft skills for high-tech organizations. This company is one of the proxied companies of the 8200 unit of the Zionists, which has the main task of identifying active talents in the field of hacking and security.One of the other duties of this company is to teach hacking and security to new members of 8200. These idiots can’t even secure themselves, then you expect them to teach you hacking?

We know the identity of all your members, if you do something stupid, we will come to you all in unit 8200.

3.5 TB Data Dumped!
+600K Email Dumped!

https://www.smart-college.co.il
https://il.linkedin.com/school/smart-col…???-?????/"
"April 7, 2024",Massad College ,Education,Hack & Leak ,"Student data breach, reputational damage, institutional credibility loss",Claimed ,Handala ,(https://handala.to/israel-massad-quality-hacked/),,"
Handala Hacked Massad Quality

Massad College provides a wide range of courses and continuing education in quality, management and engineering.
Our courses include the most up-to-date knowledge, unique professional literature, lecturers with extensive experience in industry and academia, practice on real subjects of the students which lead to successes already during the course.
All of these are supported by an advanced learning system, including the possibility of distance learning, recorded lessons, a learning space and more.

152 GB Data Dumped!
+40/000 SMS and Email Sent with their system…"
"April 5, 2024",ArrowNet ( Shell Company of 8200 Unit ),Information and Communications,Hack & Leak ,"Military-affiliated tech breach, reputational harm, national security concern",Claimed ,Handala ,(https://handala.to/about-israel-8200-unit/),,"Handala Hacked ArrowNet ( Shell Company of 8200 Unit )

5.7 TB Data Dumped!

ArrowNet is a shell company owned by Unit 8200, which is managed by Zvika Gazit, the senior officer of Unit 8200. This company is responsible for designing the IT and security infrastructure of many large Zionist organizations and centers such as Imperva, Matrix, Bank Hapoalim, AlgoSec and Security and traffic cameras. No picture of Zvika Gazit (pseudonym) has been released yet, but today we will put an end to this stupid secrecy. Also, this shell company, in close cooperation with the Palo Alto Networks company, has become the auxiliary arm of the 8200 unit for backdoor spread in the world!

Zvika Gazit is one of the senior officials of unit 8200, which is the current management of ArrowNet company. Before this, directly in the 8200 unit, he played a very serious role in the identification and electronic eavesdropping of the commanders of the resistance axis. Now he has become a backdoor spreading tool in unit 8200 of the Zionist regime! Through this shell company, he has imported the backdoors made by Unit 8200 to the biggest Zionist companies! He is now responsible for spreading Unit 8200 backdoors to European companies through many international trips and cooperation with Palo Alto Networks company.

In all these trips, Handala was by your side! Dig deeper into your infrastructure now!

He grew up in a very extremist and anti-Muslim Jewish family! In such a way, every time the Zionist child-killing regime committed a crime, we saw their family celebrations! We have been watching you for many years!

Do you think his family is an ordinary family? How about his wife? They are involved in crime as a family… you will see how!

She is now an Air Force Lieutenant Colonel ! Criminals will never find peace! Wherever they are in the world…

Do you think your communications have been secure over the years? Before you, Handala was aware of all the events…

Do you think that the infrastructure built by this shell company was safe? We recommend that you seriously check all these infrastructures…"
"April 5, 2024","Standard Textile, Arad Textile Industries, North Division","Medical, Health and Nutrition",Hack & Leak ,"Manufacturing data exposure, reputational harm, IP theft",Claimed ,Handala ,(https://handala.to/israel-textile-hacked/),,"Standard Textile, Arad Textile Industries, North Division Hacked By Handala!


1.9 TB Data Dumped!


Standard Textile is a vertically integrated company that manages its own extensive research and development operations, manufacturing and worldwide distribution.


They are recognized as the global leader in the manufacturing of healthcare, hospitality, & institutional textiles, apparel, surgical, incontinence care, decorative products & linen management services.

vie6c

Arad Textile Industries, handala hack"
"March 25, 2024",Kogol Unitrade Ltd ,Industry,Hack & Leak ,"Industrial data breach, reputational damage, market competitiveness impact",Claimed ,Handala ,(https://handala.to/about-israel-kogol-unitrade-ltd/),,"Handala Hacked Kogol Unitrade Ltd ( one of the largest automotive groups in Israel )

We can dump +1.4 TB data!

Check these first:

https://zone-h.org/mirror/id/41143925"
"March 14, 2024",Viber,Information and Communications,Hack & Leak ,"User data exposure, reputational harm, legal liability",Claimed ,"Cyber News 
Handala ","(https://cybernews.com/news/viber-hack-data-palestinian/)
(https://handala.to/viber-messenger-source-and-data/)",,"Dealing with the occupying Zionists is equal to the destruction of your capital!

The world should know that every company and startup that has a little connection with the Zionists is Handala’s target and anything is possible!

At this point, we hacked Viber Messenger, which had become a global spying tool for the Zionists! We said take Handala seriously…

Have you seen the management panel of Viber Messenger before? Can you imagine the technology giants affiliated with the occupying regime, what information of citizens they store?

We have been able to extract all sensitive information and source code of Viber Messenger from your servers! Keep waiting for Handala…

Data Volume: +740GB
Price: 8 BTC"
"March 13, 2024",Reverse Osmosis Technologies & WFI Group,"Medical, Health and Nutrition",Hack & Leak ,"Medical device IP exposure, reputational harm, compliance risk",Claimed ,Handala ,(https://handala.to/israel-water-facilities-hacked/),,"
ROTEC – Reverse Osmosis Technologies & WFI Group Hacked By Handala!

https://il.linkedin.com/company/rotec-water
https://ca.linkedin.com/company/water-fr…-wfi-group

Those who cut off the water to the oppressed children of Gaza should think about destroying their water facilities!

Handala dumped all data (+79GB) and destroyed the network!

#RamadanOperation

Are you sure that the water that the Zionists drink has been healthy in recent days?

Some criminal countries such as the United States, which are involved in the killing of the oppressed children of Gaza, always trust these idiots!"
"March 10, 2024",Aleph Farms,"Agriculture, Fisheries and Forestry",Hack & Leak ,"Biotech IP theft, reputational damage, R&D disruption",Claimed ,Handala ,(https://handala.to/israel-agriculture-company-hacked/),,"Hello Aleph Farms!

Handala Hacks israel biggest agriculture company ( aleph-farms.com )

We can dump data and destroy network!

https://zone-xsec.com/mirror/id/649296
https://web.archive.org/web/202403101105…farms.com/
https://www.host-tracker.com/en/ic/2/01a…d15c6e7daf

We can destroy all Aleph Farms Network and dump data!"
"March 9, 2024",CDNwiz,Information and Communications,DDoS ,"Service interruption, reputational harm, digital delivery issues",Claimed ,Handala ,(https://handala.to/about-israel-fake-news-companies/),,"Handala Hacks CDNwiz and The online broadcasting and VOD services of the following news agencies was interrupted and the infrastructure of the online broadcasting was destroyed.

ynet.co.il
yad2.co.il
israelhayom.com
bhol.co.il
calcalist.co.il
eol.co.il
actualic.co.il

All fake news companies that do not smell of honor and boycott the death of thousands of oppressed Palestinian children by terrorist Zionists were and are our target!

You can’t imagine in which of your infrastructure Handala is located! wait for us…"
"March 9, 2024",Yad2,Information and Communications,DDoS ,"User access disruption, reputational harm, customer trust erosion",Claimed ,Handala ,(https://handala.to/about-israel-fake-news-companies/),,
"March 9, 2024",Israel Hayom,Information and Communications,DDoS ,"News platform disruption, reputational harm, readership loss",Claimed ,Handala ,(https://handala.to/about-israel-fake-news-companies/),,
"March 9, 2024",Bhol ,Information and Communications,DDoS ,"Religious media outage, reputational harm, community communication loss",Claimed ,Handala ,(https://handala.to/about-israel-fake-news-companies/),,
"March 9, 2024",Cal Calist,Information and Communications,DDoS ,"Media platform disruption, reputational harm, financial journalism impact",Claimed ,Handala ,(https://handala.to/about-israel-fake-news-companies/),,
"March 9, 2024",Actualic ,Information and Communications,DDoS ,"Religious site disruption, reputational harm, access issues",Claimed ,Handala ,(https://handala.to/about-israel-fake-news-companies/),,
"March 9, 2024",EOL,Information and Communications,DDoS ,"Media access outage, reputational harm, communication disruption",Claimed ,Handala ,(https://handala.to/about-israel-fake-news-companies/),,
