dateFrom,name ,organizationPrimarySector ,impact.category,impact.description,Attribution.type,source.name,source.URL,otherInformation
"October 12, 2023",Palestine Investment Fund Down,"Finance, Management and Administration",DDoS ,"Financial platform outage, reputational harm, investment trust issues",Claimed,Garuna Ops ,https://t.me/garunaops/66,"Palestine Investment Fund Down ??

?https://www.pif.ps/

?https://check-host.net/check-report/124879cak1a9

#WeSupportIsrael
#fuckpalestine
#fuckpalestinesupporters"
"October 13, 2023",Some Leaks From Bangladesh,Public Sector Management,DDoS ,"Government data exposure, reputational harm, operational inefficiencies",Claimed,Garuna Ops ,https://t.me/garunaops/80,"Some Dumps From Bangladesh...??

http://comillalg.gov.bd"
"October 14, 2023",Bank Rakyat Indonesia,"Finance, Management and Administration",DDoS ,"Banking service outage, reputational harm, customer access issues",Claimed,Garuna Ops ,https://t.me/garunaops/81,"Bank Rakyat Indonesia, Don't do this ?? 

?https://bri.co.id/

?https://check-host.net/check-report/1254885dk236

?https://pikwy.com/web/652ac2767e30d84f090bcba4

#WeSupportIsrael
#fuckpalestine
#fuckpalestinesupporters"
"October 14, 2023",Bank Rakyat Indonesia,Information and Communications,DDoS ,"IT infrastructure outage, reputational harm, service disruption",Claimed,Garuna Ops ,https://t.me/garunaops/82,"Bank Rakyat Indonesia, Don't do this ?? 

?https://www.ir-bri.com/

?https://check-host.net/check-report/1254a376k275

#WeSupportIsrael
#fuckpalestine
#fuckpalestinesupporters"
"October 16, 2023",Websites ,Public Sector Management,DDoS ,"Government websites disruption, reputational harm, public trust impact",Claimed,Garuna Ops ,https://t.me/garunaops/100,Some Indonesian sites and there full website backup including databases & mails....
"October 16, 2023",Ministry Of External Affairs Bangladesh Govt. Down,Public Sector Management,DDoS ,"Foreign ministry site outage, reputational harm, diplomatic operations hindered",Claimed,Garuna Ops ,https://t.me/garunaops/119,"Ministry Of External Affairs Bangladesh Govt. Down...??

?https://mofa.gov.bd/

?https://check-host.net/check-report/1262484bkf51

?https://check-host.net/check-report/12624dbbk635

#WeSupportIsrael
#fuckpalestine
#fuckpalestinesupporters"
"October 16, 2023",Ministry Of External Affairs PakistanGovt. Down,Transportation,DDoS ,"Transportation ministry disruption, reputational harm, cross-border logistics affected",Claimed,Garuna Ops ,https://t.me/garunaops/120,"Ministry Of External Affairs PakistanGovt. Down...??

?https://mofa.gov.pk/

?https://check-host.net/check-report/12627368k133

#WeSupportIsrael
#fuckpalestine
#fuckpalestinesupporters"
"October 17, 2023",,Transportation,DDoS ,"Transportation platform outage, reputational harm, travel service impact",Claimed,Garuna Ops ,https://t.me/garunaops/121,"Hey Indonesia it's Sample....
Will Be Publishing More Stay Tuned.... (include photo ID of someone)"
"October 29, 2023",Civil Aviation Authority of Bangladesh Down,Education,DDoS ,"Civil aviation service disruption, reputational harm, air traffic inefficiencies",Claimed,Garuna Ops ,https://t.me/garunaops/122,"Civil Aviation Authority of Bangladesh Down ??

?http://www.caab.gov.bd

?https://check-host.net/check-report/12dab637k294

?https://check-host.net/check-report/12daba89k9d5

#WeSupportIsrael
#fuckpalestine
#fuckpalestinesupporters"
"October 29, 2023",Hazrat Shahjalal International Airport Down Bangladesh,Public Sector Management,DDoS ,"Airport operations outage, reputational harm, travel delays and confusion",Claimed,Garuna Ops ,https://t.me/garunaops/124,"Hazrat Shahjalal International Airport Down Bangladesh ??

?https://www.hsia.gov.bd

?https://check-host.net/check-report/12db01cek863

#WeSupportIsrael
#fuckpalestine
#fuckpalestinesupporters"
"November 2, 2023",OP Jindal Global University India Website Down,Public Sector Management,DDoS ,"Academic platform outage, reputational harm, educational credibility loss",Claimed,Garuna Ops ,https://t.me/garunaops/125,"OP Jindal Global University India Website Down ??

?https://jgu.edu.in/

?https://check-host.net/check-report/12f00377kbe2

?? It Doesn't Matter Who You Are If You Support Palestine, Be Ready To Be Fucked 

#WeSupportIsrael
#fuckpalestine
#fuckpalestinesupporters"
"November 22, 2023",Bangladesh Offical Govt. Website Down,"Finance, Management and Administration",DDoS ,"Government finance portal disruption, reputational harm, service unavailability",Claimed,Garuna Ops ,https://t.me/garunaops/126,"Bangladesh Offical Govt. Website Down ??

?http://www.bangladesh.gov.bd/

?https://check-host.net/check-report/136aebd1k883

?? Back To Work, Just Testing My Kiddies 

#WeSupportIsrael
#fuckpalestine
#fuckpalestinesupporters"
"November 23, 2023",Yemen Ministry Of Foreign Affairs Website Down,Public Sector Management,DDoS ,"Foreign affairs site outage, reputational harm, diplomatic service disruption",Claimed,Garuna Ops ,https://t.me/garunaops/129,"Yemen Ministry Of Foreign Affairs Website Down ??

?https://www.mofa-ye.org/

?https://check-host.net/check-report/13722da2k22

?? Taking Hostages, Now Face ??

#WeSupportIsrael
#fuckpalestine
#fuckpalestinesupporters"
"November 24, 2023",Central Bank Of Yemen Website Down,Transportation,DDoS ,"Banking site disruption, reputational harm, financial operations delay",Claimed,Garuna Ops ,https://t.me/garunaops/131,"Central Bank Of Yemen Website Down ??

?https://www.centralbank.gov.ye/

?https://check-host.net/check-report/13767a1ekb5f

?? Taking Hostages, Now Face ??

#WeSupportIsrael
#fuckpalestine
#fuckpalestinesupporters"
"January 10, 2024",Maldives Immigration Govt. Website Down,Maldives Immigration Govt. Website Down,DDoS ,"Government immigration platform outage, reputational harm, public service disruption",Claimed,Garuna Ops ,https://t.me/garunaops/135,"Maldives Immigration Govt. Website Down ??

?https://www.immigration.gov.mv/

?https://check-host.net/check-report/14874350kcf4

?? No Immigration Today...

#beinyourlimitmaldives 
#WeSupportIndia"
"January 11, 2024",Bangladesh Railway Website Down,Bangladesh Railway Website Down,DDoS ,"Transportation network outage, reputational harm, national rail delays",Claimed,Garuna Ops ,https://t.me/garunaops/136,"??Bangladesh Railway Website Down 

?https://railway.gov.bd/

? https://check-host.net/check-report/148ad8ffk246

?? This Is An Open Warning To All Other Nations Don't Interfere In Other's Political Matter, Look At Yourself First...

?? Otherwise You Are Inviting Enemies For You , We Are Always Here ??...

#beinyourlimitmaldives 
#WeSupportIndia https://t.me/garunaops/141
We strongly condemn the recent attack on Israel by Iran. Such acts of aggression only escalate tensions and threaten the stability of the region. Peaceful dialogue and diplomacy are the only paths to resolving conflicts and ensuring the safety of all people involved.

Remember We Are Not Gone Anywhere, You Are Pinging Us To Start Our Actions Against You....

#WeSupportIsrael"
,,,,,,,,
,,,,,,,,
