dateFrom,name ,organizationPrimarySector ,eventSecondarySector,impact.category,impact.description,Attribution.type,source.name,source.URL,eventConfidenceJustificaiton ,otherInformation,,,,,,,,,
"December 2,2023",The Academic College of Tel Aviv,Education,,Hack and Leak ,,Claimed,Cyber Tourfan (https://t.me/CyberToufanBackup/67) Cyber News (https://cybernews.com/security/iran-cyber-toufan-hacked-high-profile-israeli-firms/),https://t.me/CyberToufanBackup/67,Iran-linked,"#IsraelLeaks - Day Six - Leak Two - The Academic College of Tel Aviv (MTA) - #OpCyberToufan #OpIsrael

Bismillah..

Tonight, we'll end with a light leak, containing the database and source code of the Applicants website for The Academic College of Tel Aviv (applicants.mta.ac.il). The site has been down for the last two weeks after the wipe, but you can still find traces of it on Google and other search engines..

Israel continues to target and kill our academicians, the last of whom was Dr. Sufyan Tayeh (May Allah have mercy on his soul) who was killed earlier today.

Do not feel safe and secure on our land. Know that we will certainly avenge the deaths of our brothers and sisters, one by one.

Links:
https://gofile.io/d/Vi6viv
https://download.gg/file-16055205_6089e36e7c660052
https://mixdrop.ag/f/o70m17jwc6mk4g
https://doodrive.com/f/d8wkvg
https://1fichier.com/?j2vhqktjowy5xvpwz6ay&af=62851
https://clicknupload.cc/tbmxh37stmwa

Password: @CyberToufan
SHA-1: d1153178757599d9c67de9b3c12b4de90de963ed

Latest updates @ https://t.me/CyberToufanBackup / https://t.me/CyberToufan",,,,,,,,,
"December 2,2023",Lumenis,"Medical, Health and Nutrition",,Hack and Leak ,,Claimed,Cyber Tourfan (https://t.me/CyberToufanBackup/71) Cyber News (https://cybernews.com/security/iran-cyber-toufan-hacked-high-profile-israeli-firms/),https://t.me/CyberToufanBackup/71,Iran-linked,"#IsraelLeaks - Day Seven - Leak One - Lumenis - #OpCyberToufan #OpIsrael

Bismillah..

Today we will be publishing the customer database of Lumenis - an Israeli-headquartered global leader in medical technologies, acquired in 2021 for $1.07 billion. Customers of Lumenis include most of the major players in the medical and cosmetic surgery industries globally. The database we are leaking contains the records of over 80,000 clients of Lumenis, including emails, phone numbers, physical addresses, and other details.

Why target a medical technologies company? Netanyahu and his military forces have been bombing hospital of ours after hospital, threatening now to bomb the last remaining hospitals that are still operating! Does he think the resistance and the wider Muslim Ummah of Two Billion will not make Israel and all those occupying our land pay the price in a time ever-nearing?

Know that YOUR continuous murdering of our children and targeting of the most sanctified and innocent of targets (with no limits to your aggression) is doing nothing but recreating the effects Fallujah had on the people of Iraq, and on the wider Muslim Ummah. A global anger in the heart of every young and able Muslim. An anger that will be difficult to extinguish for decades to come. An anger that Netanyahu and Biden are unlikely to live to see the end of, but one which the Israeli constituency and its allies (cheering on  the massacres from afar), will have to accept responsibility for.

Links:
https://gofile.io/d/H6fzqH
https://megaup.net/42A8c
https://turbobit.net/olcrivtdn536.html
https://usersdrive.com/gov6mqpohms4
https://download.gg/file-16057524_adb34c4d94ff9a34

Password: @CyberToufan
SHA-1: f4d07396f28b13a3161d1c88332445e6db72de91

#IsraelLeaks #OpCyberToufan #OpIsrael",,,,,,,,,
"December 4,2023",H&O for Schools,Education,,Hack and Leak ,,Claimed,Cyber Tourfan (https://t.me/CyberToufanBackup/77) Cyber News (https://cybernews.com/security/iran-cyber-toufan-hacked-high-profile-israeli-firms/),https://t.me/CyberToufanBackup/77,Iran-linked,"Bismillah..

Earlier today, the Israeli forces bombed a school in Beit Lahiya, in which many families had also gone to, seeking refuge from all of the bombing and destruction. Since the beginning of the campaign, over 6,000 of our children have been murdered by the occupation forces and its allies.

Do the people of Israel and the leaders of the Global North not realize the dangerous precedent they are setting for themselves, by standing wholly behind this genocide in Gaza, and allowing the unconstrained murder and destruction to continue?

Our 14th leak of #IsraelLeaks includes the personal information of all those who have registered on the Back2School website of H&O (still offline @ school.h-o.co.il), including their Names, Numbers, Home Addresses, Emails, and Hashes (passwords).

We warn you: Netanyahu's brutal operations in Gaza is not making Israel a safer place for you and your family. It is only setting the stage for something far worse to come.

Links:
https://gofile.io/d/ItEPgA
https://turbobit.net/eoi9iz6qxd6i.html
https://clicknupload.click/92q7l2jnlcbu
https://download.gg/file-16061171_20cc2762899c2afc

Password: @CyberToufan
SHA-1: a4f010026a4ccd4626f5d78a9542d9c4200377eb",,,,,,,,,
"December 4,2023",Israeli Ministry of Health,"Medical, Health and Nutrition",,Hack and Leak ,,Claimed,Cyber Tourfan (https://t.me/CyberToufanBackup/80) Cyber News (https://cybernews.com/security/iran-cyber-toufan-hacked-high-profile-israeli-firms/),https://t.me/CyberToufanBackup/80,"We have a clear message to those in the Israeli MoH: If you do not want to see your personal details in future leaks, petition your government to stop with the targeting of our hospitals, doctors, and patients! If you do not want to be targeted as our medical professionals are being targeted by your government, you need to speak out and have your government stop the killing of our medical professionals!","Bismillah..

After targeting humanitarian shelters and hospitals, the Netanyahu government is now individually targeting our doctors and medical professionals, invading our hospitals and killing them within it!

Know that we will not submit to you, and that your time on our land is running out. The response to these crimes will make October 7th look like child's play.

As you target.. who you target.. what you target.. we will too. And you must not blame on that day but your own selves.

An eye for an eye and a tooth for a tooth.

Tonight's release will be one of many we will be releasing from the Ministry of Health. Know that as you target our hospitals and health systems, you legitimize your own to be targeted. As you target our medical professionals and researchers, you put the lives of your own medical professionals in jeopardy.

Tonight's release includes information on thousands of medical trials happening inside Israel, as well as the personal information of over 2,000 doctors, medical professionals, researchers, and employees affiliated with the Ministry of Health.

We have a clear message to those in the Israeli MoH: If you do not want to see your personal details in future leaks, petition your government to stop with the targeting of our hospitals, doctors, and patients! If you do not want to be targeted as our medical professionals are being targeted by your government, you need to speak out and have your government stop the killing of our medical professionals!

Links: 
https://gofile.io/d/LnPq5p
https://turbobit.net/32n4w5fxe0za.html
https://download.gg/file-16062707_4f0f52e5c950eaa8
https://usersdrive.com/mq0wfgw2ez7a

Password: @CyberToufan
SHA-1: 420b6db2442b1fa45cfa5583d0ce5b3d009b0986

https://t.me/CyberToufanBackup / https://t.me/CyberToufan",,,,,,,,,
"December 4,2023",SodaStream,Industry,,Hack and Leak ,,Claimed,Cyber Tourfan(https://cybernews.com/security/iran-cyber-toufan-hacked-high-profile-israeli-firms/)  Cyber News (https://cybernews.com/security/iran-cyber-toufan-hacked-high-profile-israeli-firms/),https://t.me/CyberToufanBackup/88,PICTURE OF PROTESTORS,"#IsraelLeaks - Day Nine - Leak Two - SodaStream - #OpCyberToufan #OpIsrael

Bismillah..

The multi-billion dollar Israeli company SodaStream, a subsidiary of PepsiCo, has a long and well known history of supporting extremist settler movements. The Global BDS Movement has been campaigning against SodaStream for 15+ years for such reasons.

Tonight we publish a customer database of SodaStream with the personal details of over 100,000 Israeli customers of theirs, including their Names, Email Addresses, Phone Numbers, Home Addresses, and more!

We at Cyber Toufan will continue our strikes against all companies supporting the occupation and aiding in the ongoing genocide in Gaza, so long as the war continues.

#BoycottDivestSanctionHack!

Links: 
https://turbobit.net/5my5xja8y4z7.html
https://gofile.io/d/7SXqhn
https://usersdrive.com/4r1qsw1ecits
https://clicknupload.click/domf69fxnmu6

Password: @CyberToufan
SHA-1: 94506cc71c21ca5f84eecd7966e79bfdb74a5ea4

https://t.me/CyberToufanBackup / https://t.me/CyberToufan",,,,,,,,,
"Decembber 11,2023",Novolog Israel,"Medical, Health and Nutrition",,Hack and Leak ,,Claimed,Cyber Tourfan (https://t.me/CyberToufanBackup/136) Cyber News (https://cybernews.com/security/iran-cyber-toufan-hacked-high-profile-israeli-firms/),https://t.me/CyberToufanBackup/136,"
We are Anonymous Global. 
We are the voice of the voiceless. 
We DO NOT FORGIVE.
We DO NOT FORGET.
Expect us!","#IsraelLeaks - Day Fifteen - Leak One - Novolog Israel (novolog.co.il) - #OpCyberToufan #OpIsrael

Bismillah..

We have a hot leak today, we are publishing for you the complete database approximately 15 GB, for the Israeli medical supplies and health care company Novolog Group https://www.novolog.co.il. 
The clean database contains complete information for the company’s employees, individual customers, and also customers from pharmacies, and private and governmental medical sector that they work with it. It also contains purchase orders and much more.
As we told you, we will make the population of the occupying state as an open book for the resistance armies. 
I wonder if the database contains some personal details of senior officers in the IDF? Find out for yourself.

Links:
https://gofile.io/d/uQt3v9
https://clickndownload.org/sdvagihf9bdf
https://1fichier.com/?y2p6qni2b30zexuejq1z&af=62851
https://mdbekjwqa.pw/f/6q1keve3uj8oo1

Password:
@CyberToufan
SHA-1: 22e550415224f7008cc183bae3bf1",,,,,,,,,
"Decembber 11,2023",Brother Israel,Industry,,Hack and Leak ,,Claimed,Cyber Tourfan (https://t.me/CyberToufanBackup/202) Cyber News (https://cybernews.com/security/iran-cyber-toufan-hacked-high-profile-israeli-firms/),https://t.me/CyberToufanBackup/202,Iran-linked,"#IsraelLeaks - Day Nineteen - Leak Two - Brother Israel (brother.co.il) - #OpCyberToufan #OpIsrael

Bismillah..

Brother, at the side of those committing genocide..

We've marked Brother Industries, Israel, with our red triangle. ??

Brother is one of Israel's largest providers of home and business printing-publishing products. Brother Ltd. not only turned its eyes away from the genocide in Gaza, but participates in the genocide itself through funding the IOF with millions of shekels in tax.

They go on and on about the environment and recycling. What about all the blood being spilt in Gaza and the basic human rights of Gaza's children? Do they matter? Or has profit been the only thing to matter to Brother Industries?

Tonight we leak the complete DB of Brother Israel's website (brother.co.il), with details of over 11k customers.

Links:
https://gofile.io/d/x0uzUd
https://turbobit.net/1uzh9yydqyuc.html
https://usersdrive.com/m8gi4nknsdxf

Password: @CyberToufan
SHA-1: 9e6e11f1b63957a5dc588eb010b3e50cfa65132",,,,,,,,,
"Friday, December 1, 2023",ISCAR Ltd. ,Industry,Supplies metalworking equipment and tooling to the majority of Israel's military-industrial complexsupplies metalworking equipment and tooling to the majority of Israel's military-industrial complex,Wipe,"On the 16th of November, Cyber Toufan wiped out over 300 databases and 50 servers belonging to ISCAR, the majority used as part of their backend systems for management of ISCAR's supply chains, and others used as part of joint projects ISCAR has with other companies.",Claimed,Cyber Tourfan (https://cybernews.com/security/iran-cyber-toufan-hacked-high-profile-israeli-firms/) Cyber News (https://cybernews.com/security/iran-cyber-toufan-hacked-high-profile-israeli-firms/),https://t.me/CyberToufanBackup/46,"https://t.me/CyberToufanBackup/48
The Netanyahu government has announced the resumption of their aggressions, following what can be at best described as a shoddy false flag attack. Our brothers are not the ones with a 3,000+ year history of breaking their oaths, and our brothers are also not ones to fire a single rocket by itself.

We at Cyber Toufan Al-Aksa announce the resumption of our strikes against the Israeli government, economy, and against Israel's global financial backers. We will continue to strike against all who play a role in the killing of our children and occupation of our land, whether that support be financially or otherwise.

We call on our brothers and sisters globally, especially our strong Muslim Ummah of two billion, to join the ranks in striking the enemy in every way possible! Let those whom Allah has gifted with skills and resources not stand in front of Allah without an answer to give.","ISCAR Ltd. | Operation Cyber Toufan

The Israeli ISCAR Ltd. (Est. 1952) is another one of Mr. Buffet's investments into the genocidal state of Israel. ISCAR employs over 12,000 Israelis and was valuated at $10 billion in 2013. ISCAR supplies metalworking equipment and tooling to the majority of Israel's military-industrial complex, taking part in the murder of our children and the destruction of our land.

On the 16th of November, Cyber Toufan wiped out over 300 databases and 50 servers belonging to ISCAR, the majority used as part of their backend systems for management of ISCAR's supply chains, and others used as part of joint projects ISCAR has with other companies.

CyberToufan is closely monitoring the ongoing negotiations on the ceasefire. ISCAR stands to have its sensitive data and supply chain secrets leaked if an agreement isn't reached by the two sides tonight, along with 150 other Israeli companies and MNCs backing the occupation.

#OpCyberToufan #OpIsrael #IsraelLeaks",,,,,,,,,
"Friday, December 1, 2023",Shefa Online ,Industry,,Wipe ,Enjoy this dump of all of Shefa Online's customers and purchases for now. We've got some fun leaks in line these next few days.Enjoy this dump of all of Shefa Online's customers and purchases for now. We've got some fun leaks in line these next few days.,Claimed,Cyber Tourfan (https://t.me/CyberToufanBackup/14) Cyber News (https://cybernews.com/security/iran-cyber-toufan-hacked-high-profile-israeli-firms/),https://t.me/CyberToufanBackup/14,,"#IsraelLeaks - Day Two - Leak One - Shefa Online - #OpCyberToufan #OpIsrael

Bismillah..

Looks like ""Shefa Offline"" (shefa-online.co.il) has been undergoing some ""yearly maintenence"" these last few days. Wonder if that has anything to do with some cyber attacks last week that may have just completely wiped out their systems (and their backups too). Yeah those same attacks that ""haven't been happening"" according to the Israeli spokesperson for their National Cyber Security Bureau.

Does Netanyahu need to rethink his strategy? Hopefully this talk of ceasefire doesn't go anywhere as we haven't even brought out the big fish yet. You know.. the ones that'll send some stock prices tumbling (*hint hint*).

Enjoy this dump of all of Shefa Online's customers and purchases for now. We've got some fun leaks in line these next few days.

Links:
https://mega.nz/file/kjgywaIQ#FUpsWjdPJrCHo3PUKCwJ2JpQ0B7Wu9s6DVQR7WwE6uk
https://gofile.io/d/oZVXBK
Password: @CyberToufan

https://t.me/CyberToufan",,,,,,,,,
"Friday, December 1, 2023",Toyota Israel ,Transportation,,Wipe ,,Claimed,Recorded Future (https://therecord.media/cyber-toufan-data-breaches-israel-iran-palestinians),,,"#IsraelLeaks - Day Seven - Leak Two - Toyota Israel - #OpCyberToufan #OpIsrael

Bismillah..

Tonight's leak is a smaller database belonging to Toyota Israel, with orders that have come in through their online website online.toyota.co.il. The full database will not be published at this time.

We had wiped and defaced their website two weeks ago, after having exfiltrated the complete database. Archived link: https://archive.is/online.toyota.co.il

Any business involved in financing the genocide of our children is in the scope of Cyber Toufan.

Links:
https://gofile.io/d/Q0tDUf
https://turbobit.net/i5crpv5uidsr.html
https://usersdrive.com/0fuhmp455qtk
https://clicknupload.click/tbn7c7yhjewk

Password: @CyberToufan
SHA-1: 35686ed3ea28eef88878bfbb2c7dfd72bea601f5

#IsraelLeaks #OpCyberToufan #OpIsrael

Latest @ https://t.me/CyberToufanBackup / https://t.me/CyberToufan",,,,,,,,,
